serial,brand,gender,price,total_sale,seller_reviews,year,volume
841,Alpina,Men's watch/Unisex,79365.0,14642.0,448.0,2024-01-01,High Sale
843,Harry Winston,Women's watch,1282875.0,310.0,232.0,2024-01-01,Low Sale
845,Poljot,Men's watch/Unisex,13530.0,14642.0,448.0,1980-01-01,High Sale
850,Chopard,Men's watch/Unisex,958650.0,1424.0,742.0,2024-01-01,Medium Sale
852,Glycine,Men's watch/Unisex,99000.0,1461.0,1007.0,2024-01-01,Medium Sale
856,Ernest Borel,Men's watch/Unisex,70620.0,313.0,257.0,2022-01-01,Low Sale
857,Breitling,Men's watch/Unisex,391875.0,1281.0,798.0,2024-01-01,Medium Sale
858,Mühle Glashütte,Men's watch/Unisex,169290.0,250.0,218.0,2024-01-01,Low Sale
859,U-Boat,Men's watch/Unisex,123007.5,328.0,279.0,2021-01-01,Low Sale
864,Pulsar,Men's watch/Unisex,22605.0,1140.0,788.0,1990-01-01,Medium Sale
865,Pryngeps,Men's watch/Unisex,66825.0,737.0,489.0,1995-01-01,Medium Sale
866,Hublot,Men's watch/Unisex,1980000.0,304.0,242.0,2018-01-01,Low Sale
867,Nauticfish,Men's watch/Unisex,200557.5,566.0,448.0,2024-01-01,Low Sale
868,Chopard,Women's watch,602167.5,284.0,199.0,2004-01-01,Low Sale
871,Christopher Ward,Men's watch/Unisex,162937.5,14642.0,448.0,2024-01-01,High Sale
873,Chaumet,Men's watch/Unisex,173827.5,757.0,478.0,2010-01-01,Medium Sale
874,Union Glashütte,Men's watch/Unisex,114097.5,722.0,548.0,2024-01-01,Medium Sale
877,Swiss Military,Men's watch/Unisex,73920.0,14626.0,7424.0,2024-01-01,High Sale
883,Wempe,Men's watch/Unisex,12045.0,14642.0,448.0,2020-01-01,High Sale
885,Roamer,Men's watch/Unisex,25822.5,14642.0,448.0,1970-01-01,High Sale
887,Raymond Weil,Men's watch/Unisex,152625.0,1420.0,876.0,2024-01-01,Medium Sale
888,Bomberg,Men's watch/Unisex,124740.0,779.0,619.0,2021-01-01,Medium Sale
901,Maserati,Men's watch/Unisex,25410.0,5459.0,3305.0,2024-01-01,High Sale
903,Glashütte Original,Men's watch/Unisex,815512.5,1149.0,812.0,2024-01-01,Medium Sale
906,Tudor,Men's watch/Unisex,164917.5,2946.0,2094.0,2019-01-01,High Sale
909,Versace,Men's watch/Unisex,80107.5,14642.0,448.0,2024-01-01,High Sale
921,Tutima,Men's watch/Unisex,231660.0,250.0,218.0,2019-01-01,Low Sale
925,Richard Mille,Men's watch/Unisex,14767500.0,544.0,399.0,2024-01-01,Low Sale
940,Pequignet,Women's watch,45870.0,1420.0,876.0,2024-01-01,Medium Sale
